raw,error,OtherCorporationName,CorporationName,CorporationNameOrganization,CorporationNameAndCompany,CorporationNameBranchType,CorporationNameBranchIdentifier,CorporationCommitteeType,CorporationLegalType,ShortForm,ProxyFor,AKA
ACCESSO,,,ACCESSO,,,,,,,,,
LOWENSTEIN SANDLER LLP,,,LOWENSTEIN SANDLER,,,,,,LLP,,,
COZEN O'CONNOR,,,COZEN O'CONNOR,,,,,,,,,
VETERINARIAN AND FARMER,,,VETERINARIAN AND FARMER,,,,,,,,,
RADCLIFFE AND ASSOCIATES,,,RADCLIFFE,,AND ASSOCIATES,,,,,,,
MCLEAN CLARK,,,MCLEAN CLARK,,,,,,,,,
THE BERNSTEIN COMPANIES,,,THE BERNSTEIN,COMPANIES,,,,,,,,
GREENBERG TRAURIG LLP,,,GREENBERG TRAURIG,,,,,,LLP,,,
NAVITAS STRATEGIES,,,NAVITAS STRATEGIES,,,,,,,,,
WALKER & DUNLOP,,,WALKER & DUNLOP,,,,,,,,,
DORADO SERVICES,,,DORADO SERVICES,,,,,,,,,
MONGODB,,,MONGODB,,,,,,,,,
LIPTV,,,LIPTV,,,,,,,,,
INTERTREND COMMUNICATIONS,,,INTERTREND COMMUNICATIONS,,,,,,,,,
AMERICAN HORIZON FINANCIAL,,,AMERICAN HORIZON,FINANCIAL,,,,,,,,
HAYNES & BOONE LLP,,,HAYNES & BOONE,,,,,,LLP,,,
CABRILLO COLLEGE,,,CABRILLO COLLEGE,,,,,,,,,
ARNOLD & PORTER LLP,,,ARNOLD & PORTER,,,,,,LLP,,,
MORGAN & MORGAN PLLC,,,MORGAN & MORGAN,,,,,,PLLC,,,
CENTENE CORPORATION,,,CENTENE,CORPORATION,,,,,,,,
ISAACSON,,,ISAACSON,,,,,,,,,
CONTESSA FOODS,,,CONTESSA FOODS,,,,,,,,,
RUDIN MANAGEMENT,,,RUDIN MANAGEMENT,,,,,,,,,
STONE,,,STONE,,,,,,,,,
MINCEY & FITZPATRICK,,,MINCEY & FITZPATRICK,,,,,,,,,
HOLLAND & KNIGHT,,,HOLLAND & KNIGHT,,,,,,,,,
DAI,,,DAI,,,,,,,,,
AVERY DENNISON CORP.,,,AVERY DENNISON,CORP.,,,,,,,,
HAGAN NOLL & BOYLE LLC,,,HAGAN NOLL & BOYLE,,,,,,LLC,,,
U.S. HOUSE OF REPRESENTATIVES,,,U.S. HOUSE OF REPRESENTATIVES,,,,,,,,,
KAISER PERMANENTE,,,KAISER PERMANENTE,,,,,,,,,
AKIN GUMP STRAUSS HAUER & FELD LLP,,,AKIN GUMP STRAUSS HAUER & FELD,,,,,,LLP,,,
RED MOUNTAIN FAMILY SERVICES,,,RED MOUNTAIN FAMILY SERVICES,,,,,,,,,
BRANDEIS UNIVERSITY,,,BRANDEIS UNIVERSITY,,,,,,,,,
LDC INC.,,,LDC,,,,,,INC.,,,
BAKER & MCKENZIE LLP,,,BAKER & MCKENZIE,,,,,,LLP,,,
THE AGENCY,,,THE AGENCY,,,,,,,,,
NOVO NORDISK,,,NOVO NORDISK,,,,,,,,,
BOWERY HILLS,,,BOWERY HILLS,,,,,,,,,
FITZGIBBON TOIGO ASSOCIATES LLC,,,FITZGIBBON TOIGO,ASSOCIATES,,,,,LLC,,,
DELOITTE LLP,,,DELOITTE LLP,,,,,,,,,
WARNER BROS.,,,WARNER,BROS.,,,,,,,,
PODESTA GROUP,,,PODESTA,GROUP,,,,,,,,
SIMMONS HANLEY CONROY,,,SIMMONS HANLEY CONROY,,,,,,,,,
WEINSTEIN CO.,,,WEINSTEIN,CO.,,,,,,,,
COMPREHENSIVE HOME CARE,,,COMPREHENSIVE HOME CARE,,,,,,,,,
GOOGLE,,,GOOGLE,,,,,,,,,
DEBEVOISE & PLIMPTON,,,DEBEVOISE & PLIMPTON,,,,,,,,,
U.S. CHAMBER OF COMMERCE,,,U.S. CHAMBER OF COMMERCE,,,,,,,,,
OCR SERVICES,,,OCR SERVICES,,,,,,,,,
ESPN,,,ESPN,,,,,,,,,
SERENGETI ASSET MANAGEMENT,,,SERENGETI ASSET MANAGEMENT,,,,,,,,,
PROPHET BRAND STRATEGY,,,PROPHET BRAND STRATEGY,,,,,,,,,
THE HARBOUR GROUP,,,THE HARBOUR,GROUP,,,,,,,,
STATE OF CALIFORNIA,,,STATE OF CALIFORNIA,,,,,,,,,
EMERGE AMERICA,,,EMERGE AMERICA,,,,,,,,,
U.S. SENATE,,,U.S. SENATE,,,,,,,,,
SCYTUS LLC,,,SCYTUS,,,,,,LLC,,,
FEDERAL GOVERNMENT,,,FEDERAL GOVERNMENT,,,,,,,,,
TRISTAR CONSTRUCTION,,,TRISTAR CONSTRUCTION,,,,,,,,,
NAVOS MENTAL HEALTH SOLUTIONS,,,NAVOS MENTAL HEALTH SOLUTIONS,,,,,,,,,
AKIN GUMP STRAUSS HAUER & FELD LLP,,,AKIN GUMP STRAUSS HAUER & FELD,,,,,,LLP,,,
MCDANIEL,,,MCDANIEL,,,,,,,,,
CATHOLIC UNIVERSITY LAW SCHOOL,,,CATHOLIC UNIVERSITY,LAW SCHOOL,,,,,,,,
CORCORAN GALLERY OF ART,,,CORCORAN OF ART,GALLERY,,,,,,,,
THE CARLTON GROUP,,,THE CARLTON,GROUP,,,,,,,,
MORGAN & MORGAN PLLC,,,MORGAN & MORGAN,,,,,,PLLC,,,
DAVIS & YOUNG,,,DAVIS & YOUNG,,,,,,,,,
ERNST & YOUNG,,,ERNST & YOUNG,,,,,,,,,
CRONIN,,,CRONIN,,,,,,,,,
WOLVERINE,,,WOLVERINE,,,,,,,,,
BERG AND ANDROPHY LAW FIRM,,,BERG AND ANDROPHY,LAW FIRM,,,,,,,,
COVINGTON & BURLING LLP,,,COVINGTON & BURLING,,,,,,LLP,,,
CEW PARTNERS,,,CEW,PARTNERS,,,,,,,,
FISER WEALTH MANAGEMENT,,,FISER WEALTH MANAGEMENT,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
JONES DAY,,,JONES DAY,,,,,,,,,
JACKMONT HOSPITALITY,,,JACKMONT,HOSPITALITY,,,,,,,,
CYBELE ENERGY,,,CYBELE ENERGY,,,,,,,,,
HOUSTON INDEPENDENT SCHOOL DISTRICT,,,HOUSTON,INDEPENDENT SCHOOL DISTRICT,,,,,,,,
HUMAN RIGHTS CAMPAIGN,,,HUMAN RIGHTS,CAMPAIGN,,,,,,,,
THE MICHAEL BASS GROUP,,,THE MICHAEL BASS,GROUP,,,,,,,,
MIRAS CAPITAL,,,MIRAS CAPITAL,,,,,,,,,
DOUGLAS R. BEAM,,,DOUGLAS R. BEAM,,,,,,,,,
VICENTE WOLF ASSOCIATES,,,VICENTE WOLF,ASSOCIATES,,,,,,,,
VANGUARD RENEWABLES,,,VANGUARD RENEWABLES,,,,,,,,,
D&P CREATIVE STRATEGIES,,,D & P CREATIVE STRATEGIES,,,,,,,,,
FERRARO AND ASSOCIATES PA,,,FERRARO,,AND ASSOCIATES,,,,PA,,,
LEVIN,,,LEVIN,,,,,,,,,
CENTENE CORPORATION,,,CENTENE,CORPORATION,,,,,,,,
EQUITY RESIDENTIAL,,,EQUITY RESIDENTIAL,,,,,,,,,
PILLSBURY & COLEMAN,,,PILLSBURY & COLEMAN,,,,,,,,,
WILLETT ADVISORS LLC,,,WILLETT ADVISORS,,,,,,LLC,,,
JONES DAY,,,JONES DAY,,,,,,,,,
DUSABLE CAPITAL MANAGEMENT,,,DUSABLE CAPITAL MANAGEMENT,,,,,,,,,
UTILIDATA,,,UTILIDATA,,,,,,,,,
DALLAS COUNTY,,,DALLAS,COUNTY,,,,,,,,
VIRIDIS LEARNING,,,VIRIDIS LEARNING,,,,,,,,,
COLDWELL BANKER PAT SHULTZ REAL ESTATE,,,COLDWELL BANKER PAT SHULTZ REAL ESTATE,,,,,,,,,
CSS,,,CSS,,,,,,,,,
SIDLEY AUSTIN LLP,,,SIDLEY AUSTIN,,,,,,LLP,,,
DEBEVOISE & PLIMPTON,,,DEBEVOISE & PLIMPTON,,,,,,,,,
GREENWOOD GAMING,,,GREENWOOD GAMING,,,,,,,,,
CAPITOL STRATEGIES & SOLUTIONS,,,CAPITOL STRATEGIES & SOLUTIONS,,,,,,,,,
FTD,,,FTD,,,,,,,,,
DENTAQUEST,,,DENTAQUEST,,,,,,,,,
SMYAL,,,SMYAL,,,,,,,,,
UNIVERSITY OF SOUTHERN CALIFORNIA,,,OF SOUTHERN CALIFORNIA,UNIVERSITY,,,,,,,,
PIE TOWN PRODUCTIONS,,,PIE TOWN PRODUCTIONS,,,,,,,,,
CCPN,,,CCPN,,,,,,,,,
HOLLAND CAPITAL MANAGEMENT LLC,,,HOLLAND CAPITAL MANAGEMENT,,,,,,LLC,,,
MICRO-STAR INTERNATIONAL,,,MICRO-STAR,INTERNATIONAL,,,,,,,,
KWAME BUILDING GROUP,,,KWAME BUILDING,GROUP,,,,,,,,
CONNECT POINT RESEARCH,,,CONNECT POINT RESEARCH,,,,,,,,,
CITY OF UNION CITY,,,OF UNION,CITY CITY,,,,,,,,
U.S. POSTAL SERVICE,,,U.S. POSTAL SERVICE,,,,,,,,,
PEACE AND SPORT,,,PEACE AND SPORT,,,,,,,,,
THE DREW SCHOOL,,,THE DREW,SCHOOL,,,,,,,,
ANDREW ANNALDO & ASSOCIATES,,,ANDREW ANNALDO,,& ASSOCIATES,,,,,,,
THE NATIONAL CAMPAIGN,,,THE NATIONAL,CAMPAIGN,,,,,,,,
CRYSTAL WINDOW & DOOR SYSTEMS,,,CRYSTAL WINDOW & DOOR SYSTEMS,,,,,,,,,
LINKLATERS LLP,,,LINKLATERS,,,,,,LLP,,,
HOMESMART REAL ESTATE,,,HOMESMART REAL ESTATE,,,,,,,,,
WINSTON & STRAWN LLP,,,WINSTON & STRAWN,,,,,,LLP,,,
SPO PARTNERS & COMPANY,,,SPO,PARTNERS,& COMPANY,,,,,,,
SAYLOR LAW FIRM,,,SAYLOR,LAW FIRM,,,,,,,,
MANATT,,,MANATT,,,,,,,,,
TARGET CORPORATION,,,TARGET,CORPORATION,,,,,,,,
GOOGLE,,,GOOGLE,,,,,,,,,
KEW CONSULTING,,,KEW CONSULTING,,,,,,,,,
GENERAL ELECTRIC,,,GENERAL ELECTRIC,,,,,,,,,
CAROLINA ARTHRITIS CENTER,,,CAROLINA,ARTHRITIS CENTER,,,,,,,,
CADUCEUS OCCUPATIONAL MEDICINE,,,CADUCEUS OCCUPATIONAL MEDICINE,,,,,,,,,
WITT/KIEFFER,,,WITT KIEFFER,,,,,,,,,
BIOTEC,,,BIOTEC,,,,,,,,,
GOOGLE,,,GOOGLE,,,,,,,,,
LANDMARK DEVELOPMENT CO.,,,LANDMARK,DEVELOPMENT CO.,,,,,,,,
PALADIN CAPITAL MANAGEMENT,,,PALADIN CAPITAL MANAGEMENT,,,,,,,,,
ALBERTO PARADA SECURITY,,,ALBERTO PARADA SECURITY,,,,,,,,,
PANZA MAURER & MAYNARD,,,PANZA MAURER & MAYNARD,,,,,,,,,
KAISER,,,KAISER,,,,,,,,,
OTSUKA PHARMACEUTICAL DEVELOPMENT,,,OTSUKA PHARMACEUTICAL,DEVELOPMENT,,,,,,,,
NEXUS LIVING,,,NEXUS LIVING,,,,,,,,,
JOHNSON TOAL AND BATTISTE,,,JOHNSON TOAL AND BATTISTE,,,,,,,,,
CITY OF CHICAGO,,,OF CHICAGO,CITY,,,,,,,,
HERBALIFE,,,HERBALIFE,,,,,,,,,
DECOTIIS,,,DECOTIIS,,,,,,,,,
DEBEVOISE & PLIMPTON LLP,,,DEBEVOISE & PLIMPTON,,,,,,LLP,,,
THE BERNSTEIN COMPANIES,,,THE BERNSTEIN,COMPANIES,,,,,,,,
CARNEY SANDOE ASSOCIATES,,,CARNEY SANDOE,ASSOCIATES,,,,,,,,
FUNNY OR DIE,,,FUNNY OR DIE,,,,,,,,,
IMPETES-PEF,,,IMPETES-PEF,,,,,,,,,
MILLERSVILLE UNIVERSITY,,,MILLERSVILLE UNIVERSITY,,,,,,,,,
LAW OFFICES OF PAULA CANNY,,,OF PAULA CANNY,LAW OFFICES,,,,,,,,
PAG JAPAN LIMITED,,,PAG JAPAN,,,,,,LIMITED,,,
LIFESHARE MANAGEMENT GROUP,,,LIFESHARE MANAGEMENT,GROUP,,,,,,,,
NEW BOSTON VENTURES,,,NEW BOSTON VENTURES,,,,,,,,,
JUJAMA INC.,,,JUJAMA,,,,,,INC.,,,
MESA GLOBAL,,,MESA GLOBAL,,,,,,,,,
NATHAN ASSOCIATES,,,NATHAN,ASSOCIATES,,,,,,,,
ACCELERATOR GROUP LLC.,,,ACCELERATOR,GROUP,,,,,LLC.,,,
GENERAL AMERICAN CAPITAL PARTNERS LLC,,,GENERAL AMERICAN CAPITAL,PARTNERS,,,,,LLC,,,
ELLEN WALLACE ART CONSULTING,,,ELLEN WALLACE ART CONSULTING,,,,,,,,,
YALE UNIVERSITY,,,YALE,UNIVERSITY,,,,,,,,
UNITED STATES AGENCY FOR INTERNATIONAL,,,UNITED STATES FOR,AGENCY INTERNATIONAL,,,,,,,,
GREENBERG TRAURIG LLP,,,GREENBERG TRAURIG,,,,,,LLP,,,
GLAZER'S,,,GLAZER'S,,,,,,,,,
MERRILL LYNCH,,,MERRILL LYNCH,,,,,,,,,
CRONIN LEONARD,,,CRONIN LEONARD,,,,,,,,,
KOHLBERG KRAVIS ROBERTS & CO. LP,,,KOHLBERG KRAVIS ROBERTS,,& CO.,,,,LP,,,
KANTROWITZ GILDHAMER & GRAIFMAN,,,KANTROWITZ GILDHAMER & GRAIFMAN,,,,,,,,,
SML DESIGN STUDIO,,,SML DESIGN STUDIO,,,,,,,,,
LAW OFFICE OF MICHAEL P. CLELLAND,,,OF MICHAEL P. CLELLAND,LAW OFFICE,,,,,,,,
MAJOR,,,MAJOR,,,,,,,,,
UNIVERSITY OF SOUTH FLORIDA FOUNDATION,,,OF SOUTH FLORIDA,UNIVERSITY FOUNDATION,,,,,,,,
DNJ GALLERY,,,DNJ GALLERY,,,,,,,,,
AUTODESK,,,AUTODESK,,,,,,,,,
BROWNSTEIN HYATT FARBER SCHRECK,,,BROWNSTEIN HYATT FARBER SCHRECK,,,,,,,,,
AMFAR,,,AMFAR,,,,,,,,,
AXIOM GLOBAL INC.,,,AXIOM GLOBAL,,,,,,INC.,,,
AMERICAN BANKERS ASSOC.,,,AMERICAN BANKERS,ASSOC.,,,,,,,,
LBJ REALTY LP,,,LBJ REALTY,,,,,,LP,,,
MAYRICH CONSTRUCTION,,,MAYRICH CONSTRUCTION,,,,,,,,,
AT&T,,,AT & T,,,,,,,,,
BLACKROCK,,,BLACKROCK,,,,,,,,,
CLAYCO,,,CLAYCO,,,,,,,,,
SKADDEN LLP,,,SKADDEN,,,,,,LLP,,,
MEDECISION,,,MEDECISION,,,,,,,,,
UNIVERSITY OF ARKANSAS,,,OF ARKANSAS,UNIVERSITY,,,,,,,,
ALLEN & COMPANY,,,ALLEN,,& COMPANY,,,,,,,
UNITED AIRLINES,,,UNITED AIRLINES,,,,,,,,,
ASSOCIATION OF AMERICAN PUBLISHERS,,,OF AMERICAN PUBLISHERS,ASSOCIATION,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
CHIEFTAIN CAPITAL,,,CHIEFTAIN CAPITAL,,,,,,,,,
LAW OFFICE OF JANET MCCULLAR,,,OF JANET MCCULLAR,LAW OFFICE,,,,,,,,
MORGAN STANLEY,,,MORGAN STANLEY,,,,,,,,,
LBI,,,LBI,,,,,,,,,
OVC,,,,,,,,,,OVC,,
VERIZON VENTURES,,,VERIZON VENTURES,,,,,,,,,
THE LEADING HOTELS OF THE WORLD,,,THE LEADING HOTELS OF THE WORLD,,,,,,,,,
EMILY'S LIST,,,EMILY'S LIST,,,,,,,,,
LEADWELL PARTNERS,,,LEADWELL,PARTNERS,,,,,,,,
KLEINER PERKINS CAUFIELD & BYERS,,,KLEINER PERKINS CAUFIELD & BYERS,,,,,,,,,
VENTURA,,,VENTURA,,,,,,,,,
CONLON & DUNN PUBLIC STRATEGIES,,,CONLON & DUNN PUBLIC STRATEGIES,,,,,,,,,
UNITED CENTURY LLC,,,UNITED CENTURY,,,,,,LLC,,,
PEW CHARITABLE TRUSTS,,,PEW CHARITABLE TRUSTS,,,,,,,,,
ESCAPIST MEDIA INC,,,ESCAPIST MEDIA,,,,,,INC,,,
GMMB,,,GMMB,,,,,,,,,
BARTLIT BECK HERMAN PALENCHAR & SCOTT,,,BARTLIT BECK HERMAN PALENCHAR & SCOTT,,,,,,,,,
CO SCHOOL OF MEDICINE/DENVER VAMC,,,OF MEDICINE DENVER VAMC,CO SCHOOL,,,,,,,,
GEORGIA GENERAL ASSEMBLY,,,GEORGIA GENERAL,ASSEMBLY,,,,,,,,
CORNING INCORPORATED,,,CORNING,,,,,,INCORPORATED,,,
BLUE LANCE,,,BLUE LANCE,,,,,,,,,
NHS,,,,,,,,,,NHS,,
STATE OF MISSOURI,,,STATE OF MISSOURI,,,,,,,,,
GPSS,,,GPSS,,,,,,,,,
CONOAK PARTNERS,,,CONOAK,PARTNERS,,,,,,,,
INVESTMENT COMPANY INSTITUTE,,,INVESTMENT,COMPANY INSTITUTE,,,,,,,,
VRAIN CORPORATION,,,VRAIN,CORPORATION,,,,,,,,
UNIVERSITY RESEARCH CO.,,,UNIVERSITY RESEARCH,CO.,,,,,,,,
NEWSICAL NYC LLC,,,NEWSICAL NYC,,,,,,LLC,,,
STATE OF CALIFORNIA,,,STATE OF CALIFORNIA,,,,,,,,,
THE CLARK CHARITABLE FOUNDATION,,,THE CLARK CHARITABLE,FOUNDATION,,,,,,,,
CARDIOCARE LLC,,,CARDIOCARE,,,,,,LLC,,,
INSIGHT GROUP,,,INSIGHT,GROUP,,,,,,,,
CAPITOL COUNSEL LLC,,,CAPITOL COUNSEL,,,,,,LLC,,,
KELLEY DRYE & WARREN LLP,,,KELLEY DRYE & WARREN,,,,,,LLP,,,
VH STRATEGIES,,,VH STRATEGIES,,,,,,,,,
THOMPSON COBURN LLP,,,THOMPSON COBURN,,,,,,LLP,,,
GLOBAL SHOP SOLUTIONS,,,GLOBAL SHOP SOLUTIONS,,,,,,,,,
UNITED STATE HOUSE OF REPRESENTATIVES,,,UNITED STATE HOUSE OF REPRESENTATIVES,,,,,,,,,
U.S. DEPARTMENT OF STATE,,,U.S. DEPARTMENT OF STATE,,,,,,,,,
MUNGER TOLLES & OLSON LLP,,,MUNGER TOLLES & OLSON,,,,,,LLP,,,
PANDELL LAW FIRM,,,PANDELL,LAW FIRM,,,,,,,,
VCA ANIMAL HOSPITAL,,,VCA ANIMAL,HOSPITAL,,,,,,,,
NORMANDY SCHOOLS COLLABORATIVE,,,NORMANDY SCHOOLS,COLLABORATIVE,,,,,,,,
PHILADELPHIA HOSPITAL,,,PHILADELPHIA,HOSPITAL,,,,,,,,
ARIZAY,,,ARIZAY,,,,,,,,,
PFIZER,,,PFIZER,,,,,,,,,
WELD MANAGEMENT,,,WELD MANAGEMENT,,,,,,,,,
UNIVERSITY OF RICHMOND,,,OF RICHMOND,UNIVERSITY,,,,,,,,
PAMELA S. HOERSTER,,,PAMELA S. HOERSTER,,,,,,,,,
CINEMARK INC,,,CINEMARK,,,,,,INC,,,
COLSON HUCKS EIDSON,,,COLSON HUCKS EIDSON,,,,,,,,,
SIERRA NETWORK,,,SIERRA NETWORK,,,,,,,,,
INSALA,,,INSALA,,,,,,,,,
DLA PIPER LLP,,,DLA PIPER,,,,,,LLP,,,
J&I COMMUNICATIONS,,,J & I COMMUNICATIONS,,,,,,,,,
WINGATE COMPANIES,,,WINGATE COMPANIES,,,,,,,,,
FAMILY MANAGEMENT CORPORATION,,,FAMILY MANAGEMENT,CORPORATION,,,,,,,,
UN FOUNDATION,,,UN FOUNDATION,,,,,,,,,
EVERS AND COMPANY,,,EVERS,,AND COMPANY,,,,,,,
JOHN D. PHILLIPS,,,JOHN D. PHILLIPS,,,,,,,,,
HUSCH BLACKWELL LLP,,,HUSCH BLACKWELL,,,,,,LLP,,,
KOCH CENTER,,,KOCH,CENTER,,,,,,,,
NEUROLOGICAL CENTER OF NORTHERN VIRGIN,,,NEUROLOGICAL OF NORTHERN VIRGIN,CENTER,,,,,,,,
FORDHAM UNIVERSITY,,,FORDHAM,UNIVERSITY,,,,,,,,
ALARIAN ASSOCIATES,,,ALARIAN,ASSOCIATES,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
U.S. DEPARTMENT OF STATE,,,U.S. DEPARTMENT OF STATE,,,,,,,,,
AMPLIFIER STRATEGIES,,,AMPLIFIER STRATEGIES,,,,,,,,,
CONNECTICUT COLLEGE/YALE UNIVERSITY,,,CONNECTICUT COLLEGE YALE,UNIVERSITY,,,,,,,,
THE VECTRE CORPORATION,,,THE VECTRE,CORPORATION,,,,,,,,
TRANSDEV NORTH AMERICA,,,TRANSDEV NORTH AMERICA,,,,,,,,,
ONE JEANSWEAR GROUP,,,ONE JEANSWEAR,GROUP,,,,,,,,
HARRIS,,,HARRIS,,,,,,,,,
BRAVENEW,,,BRAVENEW,,,,,,,,,
GALLET DREYER &BERKEY LLP,,,GALLET DREYER & BERKEY,,,,,,LLP,,,
AKIN GUMP STRAUSS HAUER & FELD LLP,,,AKIN GUMP STRAUSS HAUER & FELD,,,,,,LLP,,,
AVG TECHNOLOGIES,,,AVG TECHNOLOGIES,,,,,,,,,
BORSHOFF,,,BORSHOFF,,,,,,,,,
THE MEDICAL GROUP OF ENCINO,,,THE MEDICAL OF ENCINO,GROUP,,,,,,,,
EAST BAY NEWBORN SPECIALISTS,,,EAST BAY NEWBORN SPECIALISTS,,,,,,,,,
CAST IRON STUDIOS,,,CAST IRON STUDIOS,,,,,,,,,
HARRIS,,,HARRIS,,,,,,,,,
FINE ARTS WORK CENTER,,,FINE ARTS WORK,CENTER,,,,,,,,
SMAC ENTERTAINMENT,,,SMAC ENTERTAINMENT,,,,,,,,,
ENGINEERING DATAXPRESS,,,ENGINEERING DATAXPRESS,,,,,,,,,
THE COHEN GROUP,,,THE COHEN,GROUP,,,,,,,,
PRECISION STRATEGIES,,,PRECISION STRATEGIES,,,,,,,,,
SMS ASSIST,,,SMS ASSIST,,,,,,,,,
CITY OF CORPUS CHRISTI,,,OF CORPUS CHRISTI,CITY,,,,,,,,
DOUGLAS R.MEST MD INC.,,,DOUGLAS R.MEST MD,,,,,,INC.,,,
VIKING CONSTRUCTION INC,,,VIKING CONSTRUCTION,,,,,,INC,,,
PARKER POE,,,PARKER POE,,,,,,,,,
WILEY REIN LLP,,,WILEY REIN,,,,,,LLP,,,
UNIVERSITY OF SCRANTON,,,OF SCRANTON,UNIVERSITY,,,,,,,,
ROBINS KAPLAN LLP,,,ROBINS KAPLAN,,,,,,LLP,,,
BLUE KNOT STRATEGIES,,,BLUE KNOT STRATEGIES,,,,,,,,,
UNIVERSITY FAMILY CHIROPRACTIC,,,UNIVERSITY FAMILY CHIROPRACTIC,,,,,,,,,
MTT INC,,,MTT,,,,,,INC,,,
ZEROREZ,,,ZEROREZ,,,,,,,,,
THE BOSTON CONSULTING GROUP,,,THE BOSTON CONSULTING,GROUP,,,,,,,,
U.S. TRADE REPRESENTATIVE,,,U.S. TRADE REPRESENTATIVE,,,,,,,,,
JENNER & BLOCK LLP,,,JENNER & BLOCK LLP,,,,,,,,,
THE STERN GROUP,,,THE STERN,GROUP,,,,,,,,
SINO-AMERICAN BUSINESS GROUP,,,SINO-AMERICAN BUSINESS,GROUP,,,,,,,,
CASTILLO & ASSOCIATES,,,CASTILLO,,& ASSOCIATES,,,,,,,
BLUE SHIELD OF CALIFORNIA,,,BLUE SHIELD OF CALIFORNIA,,,,,,,,,
RLJ MCLARTY LANDERS AUTOMOTIVE HOLDING,,,RLJ MCLARTY LANDERS AUTOMOTIVE HOLDING,,,,,,,,,
CALVIN KLEIN,,,CALVIN KLEIN,,,,,,,,,
ZARAS & NEUDORFER ARCHITECTS,,,ZARAS & NEUDORFER ARCHITECTS,,,,,,,,,
BROWN SMITH WALLACE,,,BROWN SMITH WALLACE,,,,,,,,,
MEYER WILSON CO.,,,MEYER WILSON,CO.,,,,,,,,
POST ROCK ADVISORS LLC,,,POST ROCK ADVISORS,,,,,,LLC,,,
BILL AND MELINDA GATES FOUNDATION,,,BILL AND MELINDA GATES,FOUNDATION,,,,,,,,
PERKINS COIE LLP,,,PERKINS COIE LLP,,,,,,,,,
RUTGERS UNIVERSITY,,,RUTGERS UNIVERSITY,,,,,,,,,
AVENUE CAPITAL,,,AVENUE CAPITAL,,,,,,,,,
HOODMAN CORPORATION,,,HOODMAN,CORPORATION,,,,,,,,
UC IRVINE,,,UC IRVINE,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
LYN KETTERER,,,LYN KETTERER,,,,,,,,,
MMG ADVISORS,,,MMG ADVISORS,,,,,,,,,
GRAIN MANAGEMENT,,,GRAIN MANAGEMENT,,,,,,,,,
MCGUIREWOODS LLP,,,MCGUIREWOODS,,,,,,LLP,,,
AFFIRMATIVE RISK MANAGEMENT CORP,,,AFFIRMATIVE RISK MANAGEMENT,CORP,,,,,,,,
JDG INC.,,,JDG,,,,,,INC.,,,
GEORGE BROTHERS,,,GEORGE BROTHERS,,,,,,,,,
MCGUIREWOODS CONSULTING IBM,,,MCGUIREWOODS CONSULTING,IBM,,,,,,,,
LAW OFFICES OF PAT MALONEY,,,OF PAT MALONEY,LAW OFFICES,,,,,,,,
UCLA,,,UCLA,,,,,,,,,
DPLOYIT,,,DPLOYIT,,,,,,,,,
VOUCH,,,VOUCH,,,,,,,,,
THOMSON REUTERS,,,THOMSON REUTERS,,,,,,,,,
HILLARY FOR AMERICA,,,HILLARY FOR AMERICA,,,,,,,,,
NANCY PECK & CO,,,NANCY PECK &,CO,,,,,,,,
DEBEVOISE & PLIMPTON,,,DEBEVOISE & PLIMPTON,,,,,,,,,
GOGO,,,GOGO,,,,,,,,,
HAJOCA CORPORATION,,,HAJOCA,CORPORATION,,,,,,,,
THE NORA SCHOOL,,,THE NORA,SCHOOL,,,,,,,,
ADVANCEMENT PROJECT,,,ADVANCEMENT PROJECT,,,,,,,,,
PACE GALLERY,,,PACE GALLERY,,,,,,,,,
GENSLER,,,GENSLER,,,,,,,,,
RALLYHOOD,,,RALLYHOOD,,,,,,,,,
PALO ALTO STAFFING,,,PALO ALTO STAFFING,,,,,,,,,
THE MORTGAGE BANKERS ASSOCIATION,,,THE MORTGAGE BANKERS,ASSOCIATION,,,,,,,,
BROOKLYN LAW SCHOOL,,,BROOKLYN,LAW SCHOOL,,,,,,,,
FEDERAL RESERVE BANK OF SAN FRANCISCO,,,FEDERAL RESERVE BANK OF SAN FRANCISCO,,,,,,,,,
METROPOLITAN TRANSIT AUTHORITY,,,METROPOLITAN TRANSIT,AUTHORITY,,,,,,,,
AMERICAN INTERNATIONAL GROUP,,,AMERICAN,INTERNATIONAL GROUP,,,,,,,,
APEX COVANTAGE,,,APEX COVANTAGE,,,,,,,,,
PANDORA,,,PANDORA,,,,,,,,,
MURPHY JONES LLP,,,MURPHY JONES,,,,,,LLP,,,
VINSON & ELKINS LLP,,,VINSON & ELKINS,,,,,,LLP,,,
MACANDREWS & FORBES,,,MACANDREWS & FORBES,,,,,,,,,
BEACON COMMUNITIES LLC,,,BEACON COMMUNITIES,,,,,,LLC,,,
DIGITAL REALTY TRUST,,,DIGITAL,REALTY TRUST,,,,,,,,
ECONOMIC EMPOWERMENT INITIATIVE,,,ECONOMIC EMPOWERMENT,INITIATIVE,,,,,,,,
PANALUX,,,PANALUX,,,,,,,,,
